pdq,Spdq,aic
"(2, 0, 0)","(1, 1, 2, 36)",1917.3060450139994
"(2, 0, 0)","(2, 1, 1, 36)",1917.323501975611
"(1, 0, 0)","(1, 1, 2, 36)",1917.9473009278402
"(2, 0, 1)","(2, 1, 0, 36)",1917.9573884167542
"(2, 0, 1)","(1, 1, 1, 36)",1917.95750314981
"(1, 0, 0)","(2, 1, 1, 36)",1917.9702848590139
"(1, 0, 2)","(1, 1, 0, 36)",1917.9867939829749
"(2, 0, 2)","(1, 1, 0, 36)",1918.462631028441
"(1, 0, 1)","(1, 1, 2, 36)",1918.4871258313087
"(1, 0, 1)","(2, 1, 1, 36)",1918.5022399353675
"(2, 0, 0)","(2, 1, 2, 36)",1919.3043782227842
"(2, 0, 1)","(1, 1, 2, 36)",1919.9370399955844
"(1, 0, 0)","(2, 1, 2, 36)",1919.9518323579985
"(2, 0, 1)","(2, 1, 1, 36)",1919.953576641039
"(1, 0, 2)","(1, 1, 1, 36)",1919.9859342692719
"(1, 0, 2)","(2, 1, 0, 36)",1919.985965019221
"(2, 0, 0)","(0, 1, 2, 36)",1920.3617286080469
"(2, 0, 2)","(1, 1, 1, 36)",1920.4490145143711
"(2, 0, 2)","(2, 1, 0, 36)",1920.4501559201403
"(1, 0, 1)","(2, 1, 2, 36)",1920.4930629229716
